Ojibwe,English,Words w/ Ambiguity,Pre-disambiguation CG Output,Expected CG Output,Notes
Onzaam niibowa oginigawinaan 'i wiisagad imaa g... iwe gii-naboobiiked.,She put in too much pepper when she made soup.,"""<oginigawinaan>""
	""ginigawin"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""ginigawin"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""ginigawinan"" VTI Ind Pos Neu 3SgProxSubj 0SgObj","""<onzaam>""
	""onzaam"" ADVQnt
""<niibowa>""
	""niibowa"" ADVQnt
""<oginigawinaan>""
	""ginigawin"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""ginigawin"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""ginigawinan"" VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<'i>""

""<wiisagad>""
	""wiisagad"" NI Sg
""<imaa>""
	""imaa"" ADVLoc
""<g..>""

""<.>""

""<iwe>""

""<gii-naboobiiked>""
	""naboobiike"" PVTense/gii VAI Cnj Pos Neu 3SgProxSubj
""<.>""
","""<onzaam>""
	""onzaam"" ADVQnt
""<niibowa>""
	""niibowa"" ADVQnt
""<oginigawinaan>""
	""ginigawin"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""ginigawin"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""ginigawinan"" VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<'i>""

""<wiisagad>""
	""wiisagad"" NI Sg
""<imaa>""
	""imaa"" ADVLoc
""<g..>""

""<.>""

""<iwe>""

""<gii-naboobiiked>""
	""naboobiike"" PVTense/gii VAI Cnj Pos Neu 3SgProxSubj
""<.>""
",
Indaga o-waabandandaa mii 'iw gii-maadaakideg 'i gichi-... gichi-mashkosiw.,Let's go look at the hayfield. It's starting to burn.,"""<gii-maadaakideg>""
	""maadaakide"" PVTense/gii VII Cnj Pos Neu 0SgSubj
	""maadaakide"" PVTense/gii VII Cnj Pos Neu 0PlSubj
""<gichi-mashkosiw>""
	""PNLex/gichi"" mashkosiw NI Sg
	""PNLex/chi"" mashkosiw NI Sg 2SgPoss","""<indaga>""
	""indaga"" PCDisc
""<o-waabandandaa>""
	""waabandan"" PVDir/o VTI Imp Sim InclSubj 0SgObj
""<mii>""
	""mii"" ADVPred
""<'iw>""

""<gii-maadaakideg>""
	""maadaakide"" PVTense/gii VII Cnj Pos Neu 0SgSubj
	""maadaakide"" PVTense/gii VII Cnj Pos Neu 0PlSubj
""<'i>""

""<gichi-..>""

""<.>""

""<gichi-mashkosiw>""
	""PNLex/gichi"" mashkosiw NI Sg
	""PNLex/chi"" mashkosiw NI Sg 2SgPoss
""<.>""
","""<indaga>""
	""indaga"" PCDisc
""<o-waabandandaa>""
	""waabandan"" PVDir/o VTI Imp Sim InclSubj 0SgObj
""<mii>""
	""mii"" ADVPred
""<'iw>""

""<gii-maadaakideg>""
	""maadaakide"" PVTense/gii VII Cnj Pos Neu 0SgSubj
	""maadaakide"" PVTense/gii VII Cnj Pos Neu 0PlSubj
""<'i>""

""<gichi-..>""

""<.>""

""<gichi-mashkosiw>""
	""PNLex/gichi"" mashkosiw NI Sg
	""PNLex/chi"" mashkosiw NI Sg 2SgPoss
""<.>""
",
Gipagaamagad iwe mazina'igan gaa-wi-adaawanged.,The book he went and borrowed is thick.,"""<mazina'igan>""
	""mazina'igan"" NA ProxSg
	""mazina'igan"" NI Sg
""<gaa-wi-adaawanged>""
	""PVDir/wi"" PVSub/gaa adaawange VAI Cnj Pos Neu 3SgProxSubj
	""PVDir/wi"" PVSub/gaa adaawangen VAIO Cnj Pos Neu 3SgProxSubj 0SgObj
	""PVDir/wi"" PVSub/gaa adaawangen VAIO Cnj Pos Neu 3SgProxSubj 0PlObj
	""PVDir/wi"" PVTense/gii adaawange VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead","""<gipagaamagad>""
	""gipagaa"" VII Aug/magad VII Ind Pos Neu 0SgSubj
""<iwe>""

""<mazina'igan>""
	""mazina'igan"" NA ProxSg
	""mazina'igan"" NI Sg
""<gaa-wi-adaawanged>""
	""PVDir/wi"" PVSub/gaa adaawange VAI Cnj Pos Neu 3SgProxSubj
	""PVDir/wi"" PVSub/gaa adaawangen VAIO Cnj Pos Neu 3SgProxSubj 0SgObj
	""PVDir/wi"" PVSub/gaa adaawangen VAIO Cnj Pos Neu 3SgProxSubj 0PlObj
	""PVDir/wi"" PVTense/gii adaawange VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
""<.>""
","""<gipagaamagad>""
	""gipagaa"" VII Aug/magad VII Ind Pos Neu 0SgSubj
""<iwe>""

""<mazina'igan>""
	""mazina'igan"" NA ProxSg
	""mazina'igan"" NI Sg
""<gaa-wi-adaawanged>""
	""PVDir/wi"" PVSub/gaa adaawange VAI Cnj Pos Neu 3SgProxSubj
	""PVDir/wi"" PVSub/gaa adaawangen VAIO Cnj Pos Neu 3SgProxSubj 0SgObj
	""PVDir/wi"" PVSub/gaa adaawangen VAIO Cnj Pos Neu 3SgProxSubj 0PlObj
	""PVDir/wi"" PVTense/gii adaawange VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
""<.>""
",
Ngii-mikawaa asiniins imaa jiigibiig.,I found a stone by the lake.,"""<asiniins>""
	""asiniins"" NA ProxSg
	""asin"" NA Dim ProxSg","""<ngii-mikawaa>""
	""mikaw"" PVTense/gii VTA Ind Pos Neu 1SgSubj 3SgProxObj
""<asiniins>""
	""asiniins"" NA ProxSg
	""asin"" NA Dim ProxSg
""<imaa>""
	""imaa"" ADVLoc
""<jiigibiig>""
	""jiigibiig"" ADVLoc
""<.>""
","""<ngii-mikawaa>""
	""mikaw"" PVTense/gii VTA Ind Pos Neu 1SgSubj 3SgProxObj
""<asiniins>""
	""asiniins"" NA ProxSg
	""asin"" NA Dim ProxSg
""<imaa>""
	""imaa"" ADVLoc
""<jiigibiig>""
	""jiigibiig"" ADVLoc
""<.>""
",
Ogii'-mikawaan odoodaabaanan gaa-gii-kimoodimind.,He found the car the was stolen from him.,"""<ogii'-mikawaan>""
	""mikaw"" PVTense/gii' VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""mikaw"" PVTense/gii' VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<odoodaabaanan>""
	""odaabaan"" NI Pl 3SgProxPoss
	""odaabaan"" NA ObvPl 3SgProxPoss
	""odaabaan"" NA ObvSg 3SgProxPoss","""<ogii'-mikawaan>""
	""mikaw"" PVTense/gii' VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""mikaw"" PVTense/gii' VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<odoodaabaanan>""
	""odaabaan"" NI Pl 3SgProxPoss
	""odaabaan"" NA ObvPl 3SgProxPoss
	""odaabaan"" NA ObvSg 3SgProxPoss
""<gaa-gii-kimoodimind>""
	""PVTense/gii"" PVSub/gaa gimoodim VTA Cnj Pos Neu XSubj 3SgProxObj
""<.>""
","""<ogii'-mikawaan>""
	""mikaw"" PVTense/gii' VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""mikaw"" PVTense/gii' VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<odoodaabaanan>""
	""odaabaan"" NI Pl 3SgProxPoss
	""odaabaan"" NA ObvPl 3SgProxPoss
	""odaabaan"" NA ObvSg 3SgProxPoss
""<gaa-gii-kimoodimind>""
	""PVTense/gii"" PVSub/gaa gimoodim VTA Cnj Pos Neu XSubj 3SgProxObj
""<.>""
",
Andawendaagwad ji-mino-giizhigak waabang ji-mino-bawa'amang.,Everyone wishes for a nice day tomorrow so we can enjoy picking rice.,"""<ji-mino-giizhigak>""
	""mino-giizhigad"" PVTense/daa VII Cnj Pos Neu 0SgSubj
	""mino-giizhigad"" PVTense/ga VII Cnj Pos Neu 0SgSubj
	""PVLex/mino"" PVTense/daa giizhigad VII Cnj Pos Neu 0SgSubj
	""PVLex/mino"" PVTense/ga giizhigad VII Cnj Pos Neu 0SgSubj
	""mino-giizhigad"" PVTense/daa VII Cnj Pos Neu 0PlSubj
	""mino-giizhigad"" PVTense/ga VII Cnj Pos Neu 0PlSubj
	""PVLex/mino"" PVTense/daa giizhigad VII Cnj Pos Neu 0PlSubj
	""PVLex/mino"" PVTense/ga giizhigad VII Cnj Pos Neu 0PlSubj
""<waabang>""
	""waaban"" VII Cnj Pos Neu 0SgSubj
	""waaban"" VII Cnj Pos Neu 0PlSubj
""<ji-mino-bawa'amang>""
	""PVLex/mino"" PVTense/daa bawa'an VTI Cnj Pos Neu InclSubj 0SgObj
	""PVLex/mino"" PVTense/ga bawa'an VTI Cnj Pos Neu InclSubj 0SgObj
	""PVLex/mino"" PVTense/daa bawa'an VTI Cnj Pos Neu InclSubj 0PlObj
	""PVLex/mino"" PVTense/ga bawa'an VTI Cnj Pos Neu InclSubj 0PlObj
	""PVLex/mino"" PVTense/daa bawa'am VAI Cnj Pos Neu InclSubj
	""PVLex/mino"" PVTense/ga bawa'am VAI Cnj Pos Neu InclSubj","""<andawendaagwad>""
	""andawendaagwad"" VII Ind Pos Neu 0SgSubj
""<ji-mino-giizhigak>""
	""mino-giizhigad"" PVTense/daa VII Cnj Pos Neu 0SgSubj
	""mino-giizhigad"" PVTense/ga VII Cnj Pos Neu 0SgSubj
	""PVLex/mino"" PVTense/daa giizhigad VII Cnj Pos Neu 0SgSubj
	""PVLex/mino"" PVTense/ga giizhigad VII Cnj Pos Neu 0SgSubj
	""mino-giizhigad"" PVTense/daa VII Cnj Pos Neu 0PlSubj
	""mino-giizhigad"" PVTense/ga VII Cnj Pos Neu 0PlSubj
	""PVLex/mino"" PVTense/daa giizhigad VII Cnj Pos Neu 0PlSubj
	""PVLex/mino"" PVTense/ga giizhigad VII Cnj Pos Neu 0PlSubj
""<waabang>""
	""waaban"" VII Cnj Pos Neu 0SgSubj
	""waaban"" VII Cnj Pos Neu 0PlSubj
""<ji-mino-bawa'amang>""
	""PVLex/mino"" PVTense/daa bawa'an VTI Cnj Pos Neu InclSubj 0SgObj
	""PVLex/mino"" PVTense/ga bawa'an VTI Cnj Pos Neu InclSubj 0SgObj
	""PVLex/mino"" PVTense/daa bawa'an VTI Cnj Pos Neu InclSubj 0PlObj
	""PVLex/mino"" PVTense/ga bawa'an VTI Cnj Pos Neu InclSubj 0PlObj
	""PVLex/mino"" PVTense/daa bawa'am VAI Cnj Pos Neu InclSubj
	""PVLex/mino"" PVTense/ga bawa'am VAI Cnj Pos Neu InclSubj
""<.>""
","""<andawendaagwad>""
	""andawendaagwad"" VII Ind Pos Neu 0SgSubj
""<ji-mino-giizhigak>""
	""mino-giizhigad"" PVTense/daa VII Cnj Pos Neu 0SgSubj
	""mino-giizhigad"" PVTense/ga VII Cnj Pos Neu 0SgSubj
	""PVLex/mino"" PVTense/daa giizhigad VII Cnj Pos Neu 0SgSubj
	""PVLex/mino"" PVTense/ga giizhigad VII Cnj Pos Neu 0SgSubj
	""mino-giizhigad"" PVTense/daa VII Cnj Pos Neu 0PlSubj
	""mino-giizhigad"" PVTense/ga VII Cnj Pos Neu 0PlSubj
	""PVLex/mino"" PVTense/daa giizhigad VII Cnj Pos Neu 0PlSubj
	""PVLex/mino"" PVTense/ga giizhigad VII Cnj Pos Neu 0PlSubj
""<waabang>""
	""waaban"" VII Cnj Pos Neu 0SgSubj
	""waaban"" VII Cnj Pos Neu 0PlSubj
""<ji-mino-bawa'amang>""
	""PVLex/mino"" PVTense/daa bawa'an VTI Cnj Pos Neu InclSubj 0SgObj
	""PVLex/mino"" PVTense/ga bawa'an VTI Cnj Pos Neu InclSubj 0SgObj
	""PVLex/mino"" PVTense/daa bawa'an VTI Cnj Pos Neu InclSubj 0PlObj
	""PVLex/mino"" PVTense/ga bawa'an VTI Cnj Pos Neu InclSubj 0PlObj
	""PVLex/mino"" PVTense/daa bawa'am VAI Cnj Pos Neu InclSubj
	""PVLex/mino"" PVTense/ga bawa'am VAI Cnj Pos Neu InclSubj
""<.>""
",
Atoon imaa gibiindaasowining.,Put it in your pocket.,"""<atoon>""
	""atoon"" VTI Imp Sim 2SgSubj 0SgObj
	""atoon"" VTI Imp Sim 2SgSubj 0PlObj","""<atoon>""
	""atoon"" VTI Imp Sim 2SgSubj 0SgObj
	""atoon"" VTI Imp Sim 2SgSubj 0PlObj
""<imaa>""
	""imaa"" ADVLoc
""<gibiindaasowining>""
	""biindaasowin"" NI Loc 2SgPoss
""<.>""
","""<atoon>""
	""atoon"" VTI Imp Sim 2SgSubj 0SgObj
	""atoon"" VTI Imp Sim 2SgSubj 0PlObj
""<imaa>""
	""imaa"" ADVLoc
""<gibiindaasowining>""
	""biindaasowin"" NI Loc 2SgPoss
""<.>""
",
Aaniin da naa. Gigitim ina.,What the heck! Are you lazy?,"""<aaniin>""
	""aaniin"" PCInterj
	""aaniin"" ADVInter","""<aaniin>""
	""aaniin"" PCInterj
	""aaniin"" ADVInter
""<da>""

""<naa>""
	""naa"" PCEmph
""<.>""

""<gigitim>""
	""gitimi"" VAI Ind Pos Neu 2SgSubj
""<ina>""
	""ina"" PCDisc
""<.>""
","""<aaniin>""
	""aaniin"" PCInterj
	""aaniin"" ADVInter
""<da>""

""<naa>""
	""naa"" PCEmph
""<.>""

""<gigitim>""
	""gitimi"" VAI Ind Pos Neu 2SgSubj
""<ina>""
	""ina"" PCDisc
""<.>""
",
Giinitamawind ina giga-o-bawa'aamin manoomin.,Is it our turn to go knock rice?,"""<giga-o-bawa'aamin>""
	""PVDir/o"" PVTense/ga bawa'an VTI Ind Pos Neu InclSubj 0SgObj
	""PVDir/o"" PVTense/ga bawa'an VTI Ind Pos Neu InclSubj 0PlObj
	""PVDir/o"" PVTense/ga bawa'am VAI Ind Pos Neu InclSubj","""<giinitamawind>""
	""giinitamawind"" PRONPer
""<ina>""
	""ina"" PCDisc
""<giga-o-bawa'aamin>""
	""PVDir/o"" PVTense/ga bawa'an VTI Ind Pos Neu InclSubj 0SgObj
	""PVDir/o"" PVTense/ga bawa'an VTI Ind Pos Neu InclSubj 0PlObj
	""PVDir/o"" PVTense/ga bawa'am VAI Ind Pos Neu InclSubj
""<manoomin>""
	""manoomin"" NI Sg
""<.>""
","""<giinitamawind>""
	""giinitamawind"" PRONPer
""<ina>""
	""ina"" PCDisc
""<giga-o-bawa'aamin>""
	""PVDir/o"" PVTense/ga bawa'an VTI Ind Pos Neu InclSubj 0SgObj
	""PVDir/o"" PVTense/ga bawa'an VTI Ind Pos Neu InclSubj 0PlObj
	""PVDir/o"" PVTense/ga bawa'am VAI Ind Pos Neu InclSubj
""<manoomin>""
	""manoomin"" NI Sg
""<.>""
",
Agwaataawag amikwag gii-bagozigoshkigewaad andawaabandamowaad waa'-miijiwaad oshki-mitigoonsan.,The beaver come out of the water when they make holes in ice looking for fresh saplings to eat.,"""<andawaabandamowaad>""
	""andawaabandan"" VTI Cnj Pos Neu 3PlProxSubj 0PlObj
	""andawaabandan"" VTI Cnj Pos Neu 3PlProxSubj 0SgObj
""<oshki-mitigoonsan>""
	""PNLex/oshki"" mitig NI Dim Pl
	""PNLex/oshki"" mitig NA Dim ObvSg
	""PNLex/oshki"" mitig NA Dim ObvPl
	""PNLex/oshki"" mitigoons NI Pl","""<agwaataawag>""
	""agwaataa"" VAI Ind Pos Neu 3PlProxSubj
""<amikwag>""
	""amik"" NA ProxPl
""<gii-bagozigoshkigewaad>""

""<andawaabandamowaad>""
	""andawaabandan"" VTI Cnj Pos Neu 3PlProxSubj 0PlObj
	""andawaabandan"" VTI Cnj Pos Neu 3PlProxSubj 0SgObj
""<waa'-miijiwaad>""

""<oshki-mitigoonsan>""
	""PNLex/oshki"" mitig NI Dim Pl
	""PNLex/oshki"" mitig NA Dim ObvSg
	""PNLex/oshki"" mitig NA Dim ObvPl
	""PNLex/oshki"" mitigoons NI Pl
""<.>""
","""<agwaataawag>""
	""agwaataa"" VAI Ind Pos Neu 3PlProxSubj
""<amikwag>""
	""amik"" NA ProxPl
""<gii-bagozigoshkigewaad>""

""<andawaabandamowaad>""
	""andawaabandan"" VTI Cnj Pos Neu 3PlProxSubj 0PlObj
	""andawaabandan"" VTI Cnj Pos Neu 3PlProxSubj 0SgObj
""<waa'-miijiwaad>""

""<oshki-mitigoonsan>""
	""PNLex/oshki"" mitig NI Dim Pl
	""PNLex/oshki"" mitig NA Dim ObvSg
	""PNLex/oshki"" mitig NA Dim ObvPl
	""PNLex/oshki"" mitigoons NI Pl
""<.>""
",
Odagwaabiiginaan amikwan gaa-gii-paashkizwaad.,He is puling the beaver he shot out of the water.,"""<odagwaabiiginaan>""
	""agwaabiigin"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""agwaabiigin"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""agwaabiiginan"" VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<amikwan>""
	""amik"" NA ObvPl
	""amik"" NA ObvSg
""<gaa-gii-paashkizwaad>""
	""PVTense/gii"" PVSub/gaa baashkizwi VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""PVTense/gii"" PVSub/gaa baashkiz VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""PVTense/gii"" PVSub/gaa baashkizwi VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
	""PVTense/gii"" PVSub/gaa baashkiz VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj","""<odagwaabiiginaan>""
	""agwaabiigin"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""agwaabiigin"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""agwaabiiginan"" VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<amikwan>""
	""amik"" NA ObvPl
	""amik"" NA ObvSg
""<gaa-gii-paashkizwaad>""
	""PVTense/gii"" PVSub/gaa baashkizwi VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""PVTense/gii"" PVSub/gaa baashkiz VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""PVTense/gii"" PVSub/gaa baashkizwi VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
	""PVTense/gii"" PVSub/gaa baashkiz VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
""<.>""
","""<odagwaabiiginaan>""
	""agwaabiigin"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""agwaabiigin"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""agwaabiiginan"" VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<amikwan>""
	""amik"" NA ObvPl
	""amik"" NA ObvSg
""<gaa-gii-paashkizwaad>""
	""PVTense/gii"" PVSub/gaa baashkizwi VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""PVTense/gii"" PVSub/gaa baashkiz VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""PVTense/gii"" PVSub/gaa baashkizwi VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
	""PVTense/gii"" PVSub/gaa baashkiz VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
""<.>""
",
Ogii-kwiinawendaan 'iw gaa-andawendang gaa-onji-mindawed.,What he wanted wasn't there so he got kind of mad and said the hell with it.,"""<gaa-andawendang>""
	""andawendam"" PVSub/gaa VAI Cnj Pos Neu 3SgProxSubj
	""andawendan"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0SgObj
	""andawendan"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0PlObj
	""andawendam"" PVTense/gii VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
	""andawendam"" PVTense/gii VAI Pcp Pos Neu 3PlProxSubj 3PlProxHead
""<gaa-onji-mindawed>""
	""PVRel/onji"" PVSub/gaa mindawe VAI Cnj Pos Neu 3SgProxSubj
	""PVRel/onji"" PVTense/gii mindawe VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead","""<ogii-kwiinawendaan>""
	""gwiinawendan"" PVTense/gii VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<'iw>""

""<gaa-andawendang>""
	""andawendam"" PVSub/gaa VAI Cnj Pos Neu 3SgProxSubj
	""andawendan"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0SgObj
	""andawendan"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0PlObj
	""andawendam"" PVTense/gii VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
	""andawendam"" PVTense/gii VAI Pcp Pos Neu 3PlProxSubj 3PlProxHead
""<gaa-onji-mindawed>""
	""PVRel/onji"" PVSub/gaa mindawe VAI Cnj Pos Neu 3SgProxSubj
	""PVRel/onji"" PVTense/gii mindawe VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
""<.>""
","""<ogii-kwiinawendaan>""
	""gwiinawendan"" PVTense/gii VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<'iw>""

""<gaa-andawendang>""
	""andawendam"" PVSub/gaa VAI Cnj Pos Neu 3SgProxSubj
	""andawendan"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0SgObj
	""andawendan"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0PlObj
	""andawendam"" PVTense/gii VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
	""andawendam"" PVTense/gii VAI Pcp Pos Neu 3PlProxSubj 3PlProxHead
""<gaa-onji-mindawed>""
	""PVRel/onji"" PVSub/gaa mindawe VAI Cnj Pos Neu 3SgProxSubj
	""PVRel/onji"" PVTense/gii mindawe VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
""<.>""
",
Ogii-basiingweganaamaan ogwiiwizensiman a'aw ikwezens.,That girl slapped her boy friend in the face.,"""<ogwiiwizensiman>""
	""gwiiwizens"" NA Poss ObvSg 3SgProxPoss
	""gwiiwizens"" NA Poss ObvPl 3SgProxPoss","""<ogii-basiingweganaamaan>""

""<ogwiiwizensiman>""
	""gwiiwizens"" NA Poss ObvSg 3SgProxPoss
	""gwiiwizens"" NA Poss ObvPl 3SgProxPoss
""<a'aw>""
	""a'aw"" PRONDem
""<ikwezens>""
	""ikwezens"" NA ProxSg
""<.>""
","""<ogii-basiingweganaamaan>""

""<ogwiiwizensiman>""
	""gwiiwizens"" NA Poss ObvSg 3SgProxPoss
	""gwiiwizens"" NA Poss ObvPl 3SgProxPoss
""<a'aw>""
	""a'aw"" PRONDem
""<ikwezens>""
	""ikwezens"" NA ProxSg
""<.>""
",
Gabe-dibik gii-ondendiwag igiw gaa-waaswaawaad.,The torchers were gone all night.,"""<gabe-dibik>""
	""gabe-dibik"" ADVTmp
	""dibik"" PVLex/gabe ADVTmp","""<gabe-dibik>""
	""gabe-dibik"" ADVTmp
	""dibik"" PVLex/gabe ADVTmp
""<gii-ondendiwag>""
	""ondendi"" PVTense/gii VAI Ind Pos Neu 3PlProxSubj
""<igiw>""
	""igiw"" PRONDem
""<gaa-waaswaawaad>""
	""waaswaa"" PVSub/gaa VAI Cnj Pos Neu 3PlProxSubj
""<.>""
","""<gabe-dibik>""
	""gabe-dibik"" ADVTmp
	""dibik"" PVLex/gabe ADVTmp
""<gii-ondendiwag>""
	""ondendi"" PVTense/gii VAI Ind Pos Neu 3PlProxSubj
""<igiw>""
	""igiw"" PRONDem
""<gaa-waaswaawaad>""
	""waaswaa"" PVSub/gaa VAI Cnj Pos Neu 3PlProxSubj
""<.>""
",
Gii-paakaakosin i'iw waasechigan gabe-dibik. Gii-piindigese a'aw obikwaanaajiinh.,The window was left open all night and the bat flew in.,"""<gabe-dibik>""
	""gabe-dibik"" ADVTmp
	""dibik"" PVLex/gabe ADVTmp
""<gii-piindigese>""
	""biindigese"" PVTense/gii VAI Ind Pos Neu 3SgProxSubj
	""biindigese"" PVTense/gii VII Ind Pos Neu 0SgSubj","""<gii-paakaakosin>""
	""baakaakosin"" PVTense/gii VII Ind Pos Neu 0SgSubj
""<i'iw>""
	""i'iw"" PRONDem
""<waasechigan>""
	""waasechigan"" NI Sg
""<gabe-dibik>""
	""gabe-dibik"" ADVTmp
	""dibik"" PVLex/gabe ADVTmp
""<.>""

""<gii-piindigese>""
	""biindigese"" PVTense/gii VAI Ind Pos Neu 3SgProxSubj
	""biindigese"" PVTense/gii VII Ind Pos Neu 0SgSubj
""<a'aw>""
	""a'aw"" PRONDem
""<obikwaanaajiinh>""

""<.>""
","""<gii-paakaakosin>""
	""baakaakosin"" PVTense/gii VII Ind Pos Neu 0SgSubj
""<i'iw>""
	""i'iw"" PRONDem
""<waasechigan>""
	""waasechigan"" NI Sg
""<gabe-dibik>""
	""gabe-dibik"" ADVTmp
	""dibik"" PVLex/gabe ADVTmp
""<.>""

""<gii-piindigese>""
	""biindigese"" PVTense/gii VAI Ind Pos Neu 3SgProxSubj
	""biindigese"" PVTense/gii VII Ind Pos Neu 0SgSubj
""<a'aw>""
	""a'aw"" PRONDem
""<obikwaanaajiinh>""

""<.>""
",
Gii-opaataagozi; gabe-dibik gii-nagamod.,He kept him awake by singing all night.,"""<gabe-dibik>""
	""gabe-dibik"" ADVTmp
	""dibik"" PVLex/gabe ADVTmp","""<gii-opaataagozi;>""

""<gabe-dibik>""
	""gabe-dibik"" ADVTmp
	""dibik"" PVLex/gabe ADVTmp
""<gii-nagamod>""
	""nagamo"" PVTense/gii VAI Cnj Pos Neu 3SgProxSubj
""<.>""
","""<gii-opaataagozi;>""

""<gabe-dibik>""
	""gabe-dibik"" ADVTmp
	""dibik"" PVLex/gabe ADVTmp
""<gii-nagamod>""
	""nagamo"" PVTense/gii VAI Cnj Pos Neu 3SgProxSubj
""<.>""
",
Gii-kizhide dibikong. Mii go gabe-dibik gii-michishinaan.,It was hot last night night. I lay there without covers all night.,"""<gabe-dibik>""
	""gabe-dibik"" ADVTmp
	""dibik"" PVLex/gabe ADVTmp","""<gii-kizhide>""
	""gizhide"" PVTense/gii VII Ind Pos Neu 0SgSubj
""<dibikong>""
	""dibikong"" ADVTmp
""<.>""

""<mii>""
	""mii"" ADVPred
""<go>""
	""go"" PCDisc
""<gabe-dibik>""
	""gabe-dibik"" ADVTmp
	""dibik"" PVLex/gabe ADVTmp
""<gii-michishinaan>""
	""michishin"" PVTense/gii VAI Cnj Pos Neu 1SgSubj
""<.>""
","""<gii-kizhide>""
	""gizhide"" PVTense/gii VII Ind Pos Neu 0SgSubj
""<dibikong>""
	""dibikong"" ADVTmp
""<.>""

""<mii>""
	""mii"" ADVPred
""<go>""
	""go"" PCDisc
""<gabe-dibik>""
	""gabe-dibik"" ADVTmp
	""dibik"" PVLex/gabe ADVTmp
""<gii-michishinaan>""
	""michishin"" PVTense/gii VAI Cnj Pos Neu 1SgSubj
""<.>""
",
Migiwag animoshag gabe-dibik.,Dogs barked all night.,"""<gabe-dibik>""
	""gabe-dibik"" ADVTmp
	""dibik"" PVLex/gabe ADVTmp","""<migiwag>""
	""migi"" VAI Ind Pos Neu 3PlProxSubj
""<animoshag>""
	""animosh"" NA ProxPl
""<gabe-dibik>""
	""gabe-dibik"" ADVTmp
	""dibik"" PVLex/gabe ADVTmp
""<.>""
","""<migiwag>""
	""migi"" VAI Ind Pos Neu 3PlProxSubj
""<animoshag>""
	""animosh"" NA ProxPl
""<gabe-dibik>""
	""gabe-dibik"" ADVTmp
	""dibik"" PVLex/gabe ADVTmp
""<.>""
",
