ojibwe,english,word_with_ambiguity,fst_readings
Omaa bi-izhaan.,Come here.,"{'word_form': 'bi-izhaan', 'fst_analyses': ['bi-izhaa+VAI+Imp+Sim+2SgSubj', 'PVDir/bi+izhaa+VAI+Imp+Sim+2SgSubj']}","[{'word_form': 'omaa', 'fst_analyses': ['omaa+ADVLoc']}, {'word_form': 'bi-izhaan', 'fst_analyses': ['bi-izhaa+VAI+Imp+Sim+2SgSubj', 'PVDir/bi+izhaa+VAI+Imp+Sim+2SgSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Gaawiin awiya abisii omaa endaayan gii-bi-izhaayaan gii-onaagoshig.,There was no one home when I came to your house last evening.,"{'word_form': 'gii-onaagoshig', 'fst_analyses': ['PVTense/gii+onaagoshin+VII+Cnj+Pos+Neu+0SgSubj', 'PVTense/gii+onaagoshin+VII+Cnj+Pos+Neu+0PlSubj']}","[{'word_form': 'gaawiin', 'fst_analyses': ['gaawiin+ADVNeg']}, {'word_form': 'awiya', 'fst_analyses': ['awiya+PRONIndf']}, {'word_form': 'abisii', 'fst_analyses': ['abi+VAI+Ind+Neg+Neu+3SgProxSubj']}, {'word_form': 'omaa', 'fst_analyses': ['omaa+ADVLoc']}, {'word_form': 'endaayan', 'fst_analyses': []}, {'word_form': 'gii-bi-izhaayaan', 'fst_analyses': []}, {'word_form': 'gii-onaagoshig', 'fst_analyses': ['PVTense/gii+onaagoshin+VII+Cnj+Pos+Neu+0SgSubj', 'PVTense/gii+onaagoshin+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Naagaj ina gidaa-bi-izhaa. Akawe niwii-manise.,Can you come later? I'm going to cut some wood first.,"{'word_form': 'gidaa-bi-izhaa', 'fst_analyses': ['PVTense/daa+bi-izhaa+VAI+Ind+Pos+Neu+2SgSubj', 'PVTense/daa+PVDir/bi+izhaa+VAI+Ind+Pos+Neu+2SgSubj']}","[{'word_form': 'naagaj', 'fst_analyses': ['naagaj+ADVQnt']}, {'word_form': 'ina', 'fst_analyses': ['ina+PCDisc']}, {'word_form': 'gidaa-bi-izhaa', 'fst_analyses': ['PVTense/daa+bi-izhaa+VAI+Ind+Pos+Neu+2SgSubj', 'PVTense/daa+PVDir/bi+izhaa+VAI+Ind+Pos+Neu+2SgSubj']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'akawe', 'fst_analyses': ['akawe+ADVTmp']}, {'word_form': 'niwii-manise', 'fst_analyses': ['PVTense/wii+manise+VAI+Ind+Pos+Neu+1SgSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Gii-paakaakosin i'iw waasechigan gabe-dibik. Gii-piindigese a'aw obikwaanaajiinh.,The window was left open all night and the bat flew in.,"{'word_form': 'gabe-dibik', 'fst_analyses': ['gabe-dibik+ADVTmp', 'PVLex/gabe+dibik+ADVTmp']}","[{'word_form': 'gii-paakaakosin', 'fst_analyses': ['PVTense/gii+baakaakosin+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': ""i'iw"", 'fst_analyses': [""i'iw+PRONDem""]}, {'word_form': 'waasechigan', 'fst_analyses': ['waasechigan+NI+Sg']}, {'word_form': 'gabe-dibik', 'fst_analyses': ['gabe-dibik+ADVTmp', 'PVLex/gabe+dibik+ADVTmp']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'gii-piindigese', 'fst_analyses': ['PVTense/gii+biindigese+VAI+Ind+Pos+Neu+3SgProxSubj', 'PVTense/gii+biindigese+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': ""a'aw"", 'fst_analyses': [""a'aw+PRONDem""]}, {'word_form': 'obikwaanaajiinh', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]"
Gii-paakaakosin iwe waasechigan gaa-onji-biindigebiisaag,The window was open and that's why the rain came in.,"{'word_form': 'gaa-onji-biindigebiisaag', 'fst_analyses': ['PVSub/gaa+PVRel/onji+biindigebiisaa+VII+Cnj+Pos+Neu+0SgSubj', 'PVSub/gaa+PVRel/onji+biindigebiisaa+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+PVRel/onji+biindigebiisaa+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}","[{'word_form': 'gii-paakaakosin', 'fst_analyses': ['PVTense/gii+baakaakosin+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'iwe', 'fst_analyses': []}, {'word_form': 'waasechigan', 'fst_analyses': ['waasechigan+NI+Sg']}, {'word_form': 'gaa-onji-biindigebiisaag', 'fst_analyses': ['PVSub/gaa+PVRel/onji+biindigebiisaa+VII+Cnj+Pos+Neu+0SgSubj', 'PVSub/gaa+PVRel/onji+biindigebiisaa+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+PVRel/onji+biindigebiisaa+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}]"
Ogii-naaji-zagaabiiginaan odayan.,He went after his dog with a leash.,"{'word_form': 'odayan', 'fst_analyses': ['day+NAD+ObvPl+3SgProxPoss', 'day+NAD+ObvSg+3SgProxPoss', 'ayaan+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}","[{'word_form': 'ogii-naaji-zagaabiiginaan', 'fst_analyses': []}, {'word_form': 'odayan', 'fst_analyses': ['day+NAD+ObvPl+3SgProxPoss', 'day+NAD+ObvSg+3SgProxPoss', 'ayaan+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': '.', 'fst_analyses': []}]"
Anooj igo odoodawaan odayensan.,He's playing with his pet in a rough way.,"{'word_form': 'odoodawaan', 'fst_analyses': ['doodaw+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'doodaw+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}","[{'word_form': 'anooj', 'fst_analyses': ['anooj+ADVQnt']}, {'word_form': 'igo', 'fst_analyses': ['igo+PCEmph']}, {'word_form': 'odoodawaan', 'fst_analyses': ['doodaw+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'doodaw+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': 'odayensan', 'fst_analyses': ['day+NAD+Dim+ObvSg+3SgProxPoss', 'day+NAD+Dim+ObvPl+3SgProxPoss']}, {'word_form': '.', 'fst_analyses': []}]"
Ogii-napaadapinaan odayan.,He harnessed his horses on the wrong side.,"{'word_form': 'ogii-napaadapinaan', 'fst_analyses': ['PVTense/gii+napaadapizh+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/gii+napaadapizh+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}","[{'word_form': 'ogii-napaadapinaan', 'fst_analyses': ['PVTense/gii+napaadapizh+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/gii+napaadapizh+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': 'odayan', 'fst_analyses': ['day+NAD+ObvPl+3SgProxPoss', 'day+NAD+ObvSg+3SgProxPoss', 'ayaan+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': '.', 'fst_analyses': []}]"
Ogii-noogibinaan ini odayan jibwaa-niminaakowaad.,She stopped her horse before they got on the ice.,"{'word_form': 'ogii-noogibinaan', 'fst_analyses': ['PVTense/gii+noogibizh+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/gii+noogibizh+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}","[{'word_form': 'ogii-noogibinaan', 'fst_analyses': ['PVTense/gii+noogibizh+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/gii+noogibizh+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': 'ini', 'fst_analyses': []}, {'word_form': 'odayan', 'fst_analyses': ['day+NAD+ObvPl+3SgProxPoss', 'day+NAD+ObvSg+3SgProxPoss', 'ayaan+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'jibwaa-niminaakowaad', 'fst_analyses': ['PVTense/jibwaa+niminaako+VAI+Cnj+Pos+Neu+3PlProxSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Mina' a'awe noondayaabaagwed.,Give the one who's thirsty a drink.,"{'word_form': ""mina'"", 'fst_analyses': [""mina'+VTA+Imp+Sim+2SgSubj+3SgProxObj"", ""mina'+VTA+Imp+Sim+2SgSubj+3PlProxObj""]}","[{'word_form': ""mina'"", 'fst_analyses': [""mina'+VTA+Imp+Sim+2SgSubj+3SgProxObj"", ""mina'+VTA+Imp+Sim+2SgSubj+3PlProxObj""]}, {'word_form': ""a'awe"", 'fst_analyses': [""a'awe+PRONDem""]}, {'word_form': 'noondayaabaagwed', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]"
Booshke giin.,It's up to you.,"{'word_form': 'giin', 'fst_analyses': ['giin+PRONPer', 'iiw+NAD+ObvPl+2SgPoss', 'iiw+NAD+ObvSg+2SgPoss']}","[{'word_form': 'booshke', 'fst_analyses': []}, {'word_form': 'giin', 'fst_analyses': ['giin+PRONPer', 'iiw+NAD+ObvPl+2SgPoss', 'iiw+NAD+ObvSg+2SgPoss']}, {'word_form': '.', 'fst_analyses': []}]"
Booshke giin waa-izhichigeyan.,It's really up to you what you want to do.,"{'word_form': 'giin', 'fst_analyses': ['giin+PRONPer', 'iiw+NAD+ObvPl+2SgPoss', 'iiw+NAD+ObvSg+2SgPoss']}","[{'word_form': 'booshke', 'fst_analyses': []}, {'word_form': 'giin', 'fst_analyses': ['giin+PRONPer', 'iiw+NAD+ObvPl+2SgPoss', 'iiw+NAD+ObvSg+2SgPoss']}, {'word_form': 'waa-izhichigeyan', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]"
Booshke giin wiijiiwiyan oodenaang. Gidaa-wi-wiisinimin imaa wiisiniiwigamigong.,It's really up to you if you want to go with me to town. We can go eat at the restaurant.,"{'word_form': 'giin', 'fst_analyses': ['giin+PRONPer', 'iiw+NAD+ObvPl+2SgPoss', 'iiw+NAD+ObvSg+2SgPoss']}","[{'word_form': 'booshke', 'fst_analyses': []}, {'word_form': 'giin', 'fst_analyses': ['giin+PRONPer', 'iiw+NAD+ObvPl+2SgPoss', 'iiw+NAD+ObvSg+2SgPoss']}, {'word_form': 'wiijiiwiyan', 'fst_analyses': ['wiijiiw+VTA+Cnj+Pos+Neu+2SgSubj+1SgObj']}, {'word_form': 'oodenaang', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'gidaa-wi-wiisinimin', 'fst_analyses': ['PVTense/daa+PVDir/wi+wiisini+VAI+Ind+Pos+Neu+InclSubj']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'wiisiniiwigamigong', 'fst_analyses': ['wiisiniiwigamig+NI+Loc']}, {'word_form': '.', 'fst_analyses': []}]"
Gii-pangisinoon iniwen agwanji'onaaganan aana-gii-maawandoosidooyaan.,The net floats fell as I tried to gather and stack them.,"{'word_form': 'aana-gii-maawandoosidooyaan', 'fst_analyses': ['PVTense/aana+PVTense/gii+maawandoosidoon+VTI+Cnj+Pos+Neu+1SgSubj+0PlObj', 'PVTense/aana+PVTense/gii+maawandoosidoon+VTI+Cnj+Pos+Neu+1SgSubj+0SgObj']}","[{'word_form': 'gii-pangisinoon', 'fst_analyses': ['PVTense/gii+bangisin+VII+Ind+Pos+Neu+0PlSubj']}, {'word_form': 'iniwen', 'fst_analyses': ['iniwen+PRONDem']}, {'word_form': ""agwanji'onaaganan"", 'fst_analyses': [""agwanji'onaagan+NI+Pl""]}, {'word_form': 'aana-gii-maawandoosidooyaan', 'fst_analyses': ['PVTense/aana+PVTense/gii+maawandoosidoon+VTI+Cnj+Pos+Neu+1SgSubj+0PlObj', 'PVTense/aana+PVTense/gii+maawandoosidoon+VTI+Cnj+Pos+Neu+1SgSubj+0SgObj']}, {'word_form': '.', 'fst_analyses': []}]"
Ogii-wiiyagitoon gii-adaawaaged odaawadaasoowidaabaanens.,It's regretful that he sold his pickup.,"{'word_form': 'gii-adaawaaged', 'fst_analyses': ['PVTense/gii+adaawaage+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+adaawaagen+VAIO+Cnj+Pos+Neu+3SgProxSubj+0SgObj', 'PVTense/gii+adaawaagen+VAIO+Cnj+Pos+Neu+3SgProxSubj+0PlObj']}","[{'word_form': 'ogii-wiiyagitoon', 'fst_analyses': ['PVTense/gii+wiiyagitoon+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'gii-adaawaaged', 'fst_analyses': ['PVTense/gii+adaawaage+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+adaawaagen+VAIO+Cnj+Pos+Neu+3SgProxSubj+0SgObj', 'PVTense/gii+adaawaagen+VAIO+Cnj+Pos+Neu+3SgProxSubj+0PlObj']}, {'word_form': 'odaawadaasoowidaabaanens', 'fst_analyses': ['aawadaasoowidaabaanens+NI+Sg+3SgProxPoss', 'aawadaasoowidaabaan+NI+Dim+Sg+3SgProxPoss']}, {'word_form': '.', 'fst_analyses': []}]"
Ogii-wiiyagitoon gii-miigiwed iwe mazinaakizowin.,It's regretable he gave that picture away.,"{'word_form': 'gii-miigiwed', 'fst_analyses': ['PVTense/gii+miigiwe+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+miigiwen+VAIO+Cnj+Pos+Neu+3SgProxSubj+0SgObj', 'PVTense/gii+miigiwen+VAIO+Cnj+Pos+Neu+3SgProxSubj+0PlObj']}","[{'word_form': 'ogii-wiiyagitoon', 'fst_analyses': ['PVTense/gii+wiiyagitoon+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'gii-miigiwed', 'fst_analyses': ['PVTense/gii+miigiwe+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+miigiwen+VAIO+Cnj+Pos+Neu+3SgProxSubj+0SgObj', 'PVTense/gii+miigiwen+VAIO+Cnj+Pos+Neu+3SgProxSubj+0PlObj']}, {'word_form': 'iwe', 'fst_analyses': []}, {'word_form': 'mazinaakizowin', 'fst_analyses': ['mazinaakizowin+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]"
Badakidoon giwaaginogaan.,Set up your lodge.,"{'word_form': 'badakidoon', 'fst_analyses': ['badakidoon+VTI+Imp+Sim+2SgSubj+0SgObj', 'badakidoon+VTI+Imp+Sim+2SgSubj+0PlObj']}","[{'word_form': 'badakidoon', 'fst_analyses': ['badakidoon+VTI+Imp+Sim+2SgSubj+0SgObj', 'badakidoon+VTI+Imp+Sim+2SgSubj+0PlObj']}, {'word_form': 'giwaaginogaan', 'fst_analyses': ['waaginogaan+NI+Sg+2SgPoss']}, {'word_form': '.', 'fst_analyses': []}]"
Akawe waaginan mitigoon wii'-ozhitooyan waaginogaan.,Bend the sticks of the frame before making the waaginogaan.,"{'word_form': 'waaginan', 'fst_analyses': ['waaginan+VTI+Imp+Sim+2SgSubj+0SgObj', 'waaginan+VTI+Imp+Sim+2SgSubj+0PlObj']}","[{'word_form': 'akawe', 'fst_analyses': ['akawe+ADVTmp']}, {'word_form': 'waaginan', 'fst_analyses': ['waaginan+VTI+Imp+Sim+2SgSubj+0SgObj', 'waaginan+VTI+Imp+Sim+2SgSubj+0PlObj']}, {'word_form': 'mitigoon', 'fst_analyses': ['mitig+NI+Pl', 'mitig+NA+ObvSg', 'mitig+NA+ObvPl']}, {'word_form': ""wii'-ozhitooyan"", 'fst_analyses': [""PVTense/wii'+ozhitoon+VTI+Cnj+Pos+Neu+2SgSubj+0SgObj"", ""PVTense/wii'+ozhitoon+VTI+Cnj+Pos+Neu+2SgSubj+0PlObj""]}, {'word_form': 'waaginogaan', 'fst_analyses': ['waaginogaan+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]"
Bashagikodan 'i mitigoons.,Peel that stick.,"{'word_form': 'mitigoons', 'fst_analyses': ['mitigoons+NI+Sg', 'mitig+NI+Dim+Sg', 'mitig+NA+Dim+ProxSg']}","[{'word_form': 'bashagikodan', 'fst_analyses': []}, {'word_form': ""'i"", 'fst_analyses': []}, {'word_form': 'mitigoons', 'fst_analyses': ['mitigoons+NI+Sg', 'mitig+NI+Dim+Sg', 'mitig+NA+Dim+ProxSg']}, {'word_form': '.', 'fst_analyses': []}]"
Owi-bookobidoon ini mitigoonsan omaa ji-bi-wewese'wadwaa igi giingooyag,Go and break those branches and come fan the fish here.,"{'word_form': 'mitigoonsan', 'fst_analyses': ['mitig+NI+Dim+Pl', 'mitig+NA+Dim+ObvSg', 'mitig+NA+Dim+ObvPl', 'mitigoons+NI+Pl']}","[{'word_form': 'owi-bookobidoon', 'fst_analyses': ['PVDir/wi+bookobidoon+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'ini', 'fst_analyses': []}, {'word_form': 'mitigoonsan', 'fst_analyses': ['mitig+NI+Dim+Pl', 'mitig+NA+Dim+ObvSg', 'mitig+NA+Dim+ObvPl', 'mitigoons+NI+Pl']}, {'word_form': 'omaa', 'fst_analyses': ['omaa+ADVLoc']}, {'word_form': ""ji-bi-wewese'wadwaa"", 'fst_analyses': [""PVTense/daa+PVDir/bi+wewese'+VTA+Cnj+Pos+Neu+2SgSubj+3PlProxObj"", ""PVTense/ga+PVDir/bi+wewese'+VTA+Cnj+Pos+Neu+2SgSubj+3PlProxObj""]}, {'word_form': 'igi', 'fst_analyses': []}, {'word_form': 'giingooyag', 'fst_analyses': []}]"
Ogiji-waakaa'igan gii'-ondagoojin.,He fell off the roof.,"{'word_form': ""ogiji-waakaa'igan"", 'fst_analyses': [""PNLex/ogiji+waakaa'igan+NI+Sg"", ""ogiji-waakaa'igan+ADVLoc""]}","[{'word_form': ""ogiji-waakaa'igan"", 'fst_analyses': [""PNLex/ogiji+waakaa'igan+NI+Sg"", ""ogiji-waakaa'igan+ADVLoc""]}, {'word_form': ""gii'-ondagoojin"", 'fst_analyses': [""PVTense/gii'+ondagoojin+VAI+Ind+Pos+Neu+3SgProxSubj""]}, {'word_form': '.', 'fst_analyses': []}]"
Giwii-adaawaage na 'aw gaa-niizhoogaaded.,Do you want to sell your motorcycle?,"{'word_form': 'gaa-niizhoogaaded', 'fst_analyses': ['PVSub/gaa+niizhoogaade+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+niizhoogaade+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}","[{'word_form': 'giwii-adaawaage', 'fst_analyses': ['PVTense/wii+adaawaage+VAI+Ind+Pos+Neu+2SgSubj']}, {'word_form': 'na', 'fst_analyses': ['na+PCDisc']}, {'word_form': ""'aw"", 'fst_analyses': [""'aw+PRONDem""]}, {'word_form': 'gaa-niizhoogaaded', 'fst_analyses': ['PVSub/gaa+niizhoogaade+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+niizhoogaade+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': '.', 'fst_analyses': []}]"
Boozaabikinigan ginigawinan waasigani-bimideng.,Mix the oil into the gas.,"{'word_form': 'ginigawinan', 'fst_analyses': ['ginigawinan+VTI+Imp+Sim+2SgSubj+0SgObj', 'ginigawinan+VTI+Imp+Sim+2SgSubj+0PlObj']}","[{'word_form': 'boozaabikinigan', 'fst_analyses': ['boozaabikinigan+NI+Sg']}, {'word_form': 'ginigawinan', 'fst_analyses': ['ginigawinan+VTI+Imp+Sim+2SgSubj+0SgObj', 'ginigawinan+VTI+Imp+Sim+2SgSubj+0PlObj']}, {'word_form': 'waasigani-bimideng', 'fst_analyses': ['waasigani-bimide+NI+Loc']}, {'word_form': '.', 'fst_analyses': []}]"
Iwidi neyaashiing gii-ondaasin owe jiimaan gaa-agwaayaasing.,The canoe that blew ashore came from the point,"{'word_form': 'gaa-agwaayaasing', 'fst_analyses': ['PVSub/gaa+agwaayaasin+VII+Cnj+Pos+Neu+0SgSubj', 'PVSub/gaa+agwaayaasin+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+agwaayaasin+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}","[{'word_form': 'iwidi', 'fst_analyses': ['iwidi+ADVLoc']}, {'word_form': 'neyaashiing', 'fst_analyses': ['neyaashi+NI+Loc']}, {'word_form': 'gii-ondaasin', 'fst_analyses': ['PVTense/gii+ondaasin+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'owe', 'fst_analyses': ['owe+PRONDem']}, {'word_form': 'jiimaan', 'fst_analyses': ['jiimaan+NI+Sg']}, {'word_form': 'gaa-agwaayaasing', 'fst_analyses': ['PVSub/gaa+agwaayaasin+VII+Cnj+Pos+Neu+0SgSubj', 'PVSub/gaa+agwaayaasin+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+agwaayaasin+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': '.', 'fst_analyses': []}]"
Wanakwaandag onji-bookobizh waa'-apishimonikaageyan zhingobiig.,Break off the ends of boughs from the fir when you make bedding (in a lodge).,"{'word_form': 'onji-bookobizh', 'fst_analyses': ['PVRel/onji+bookobizh+VTA+Imp+Sim+2SgSubj+3SgProxObj', 'PVRel/onji+bookobizh+VTA+Imp+Sim+2SgSubj+3PlProxObj']}","[{'word_form': 'wanakwaandag', 'fst_analyses': ['wanakwaandag+NI+Sg']}, {'word_form': 'onji-bookobizh', 'fst_analyses': ['PVRel/onji+bookobizh+VTA+Imp+Sim+2SgSubj+3SgProxObj', 'PVRel/onji+bookobizh+VTA+Imp+Sim+2SgSubj+3PlProxObj']}, {'word_form': ""waa'-apishimonikaageyan"", 'fst_analyses': []}, {'word_form': 'zhingobiig', 'fst_analyses': ['zhingob+NA+ProxPl']}, {'word_form': '.', 'fst_analyses': []}]"
Mii iwidi wenda'ibiiwaad gii-aabijijiwang 'i nibi.,They get their water over at the flowing well.,"{'word_form': 'gii-aabijijiwang', 'fst_analyses': ['PVTense/gii+aabijijiwan+VII+Cnj+Pos+Neu+0SgSubj', 'PVTense/gii+aabijijiwan+VII+Cnj+Pos+Neu+0PlSubj']}","[{'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': 'iwidi', 'fst_analyses': ['iwidi+ADVLoc']}, {'word_form': ""wenda'ibiiwaad"", 'fst_analyses': []}, {'word_form': 'gii-aabijijiwang', 'fst_analyses': ['PVTense/gii+aabijijiwan+VII+Cnj+Pos+Neu+0SgSubj', 'PVTense/gii+aabijijiwan+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': ""'i"", 'fst_analyses': []}, {'word_form': 'nibi', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]"
Dagwaagong ningii-manisemin wii-aabajitooyaang biboong.,Last fall we cut fire wood for us to use in the winter.,"{'word_form': 'wii-aabajitooyaang', 'fst_analyses': ['PVTense/wii+aabajitoon+VTI+Cnj+Pos+Neu+ExclSubj+0PlObj', 'PVTense/wii+aabajitoon+VTI+Cnj+Pos+Neu+ExclSubj+0SgObj']}","[{'word_form': 'dagwaagong', 'fst_analyses': ['dagwaagong+ADVTmp']}, {'word_form': 'ningii-manisemin', 'fst_analyses': ['PVTense/gii+manise+VAI+Ind+Pos+Neu+ExclSubj']}, {'word_form': 'wii-aabajitooyaang', 'fst_analyses': ['PVTense/wii+aabajitoon+VTI+Cnj+Pos+Neu+ExclSubj+0PlObj', 'PVTense/wii+aabajitoon+VTI+Cnj+Pos+Neu+ExclSubj+0SgObj']}, {'word_form': 'biboong', 'fst_analyses': ['biboon+VII+Cnj+Pos+Neu+0SgSubj', 'biboon+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Ogii-wiiji'aan ini oosan manisewaad.,He helped his father when they were cutting firewood.,"{'word_form': ""ogii-wiiji'aan"", 'fst_analyses': [""PVTense/gii+wiiji'+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj"", ""PVTense/gii+wiiji'+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj""]}","[{'word_form': ""ogii-wiiji'aan"", 'fst_analyses': [""PVTense/gii+wiiji'+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj"", ""PVTense/gii+wiiji'+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj""]}, {'word_form': 'ini', 'fst_analyses': []}, {'word_form': 'oosan', 'fst_analyses': ['oos+NAD+ObvPl+3SgProxPoss', 'oos+NAD+ObvSg+3SgProxPoss']}, {'word_form': 'manisewaad', 'fst_analyses': ['manise+VAI+Cnj+Pos+Neu+3PlProxSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Niso-giizhik ningii-tazhitaamin gii-maniseyaang. Ningozis ningii-wiidookaag.,It took us three days to cut wood. My son helped me.,"{'word_form': 'niso-giizhik', 'fst_analyses': ['PNQnt/niso+giizhik+NA+ProxSg', 'niso-giizhik+NUM']}","[{'word_form': 'niso-giizhik', 'fst_analyses': ['PNQnt/niso+giizhik+NA+ProxSg', 'niso-giizhik+NUM']}, {'word_form': 'ningii-tazhitaamin', 'fst_analyses': ['PVTense/gii+dazhitaa+VAI+Ind+Pos+Neu+ExclSubj']}, {'word_form': 'gii-maniseyaang', 'fst_analyses': ['PVTense/gii+manise+VAI+Cnj+Pos+Neu+ExclSubj']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'ningozis', 'fst_analyses': ['gozis+NAD+ProxSg+1SgPoss']}, {'word_form': 'ningii-wiidookaag', 'fst_analyses': ['PVTense/gii+wiidookaw+VTA+Ind+Pos+Neu+3SgProxSubj+1SgObj']}, {'word_form': '.', 'fst_analyses': []}]"
Ikweginan iwe gibiiga'igan.,Put the window curtains up out of the way.,"{'word_form': 'ikweginan', 'fst_analyses': ['ikweginan+VTI+Imp+Sim+2SgSubj+0SgObj', 'ikweginan+VTI+Imp+Sim+2SgSubj+0PlObj']}","[{'word_form': 'ikweginan', 'fst_analyses': ['ikweginan+VTI+Imp+Sim+2SgSubj+0SgObj', 'ikweginan+VTI+Imp+Sim+2SgSubj+0PlObj']}, {'word_form': 'iwe', 'fst_analyses': []}, {'word_form': ""gibiiga'igan"", 'fst_analyses': [""gibiiga'igan+NI+Sg""]}, {'word_form': '.', 'fst_analyses': []}]"
Onzaam ogii-pajiishkikodaanan iniwen bawa'iganaatigoon.,He carved the knockers too pointed.,"{'word_form': 'ogii-pajiishkikodaanan', 'fst_analyses': ['PVTense/gii+bajiishkikodan+VTI+Ind+Pos+Neu+3PlObvSubj+0PlObj', 'PVTense/gii+bajiishkikodan+VTI+Ind+Pos+Neu+3SgObvSubj+0PlObj', 'PVTense/gii+bajiishkikodan+VTI+Ind+Pos+Neu+3SgProxSubj+0PlObj']}","[{'word_form': 'onzaam', 'fst_analyses': ['onzaam+ADVQnt']}, {'word_form': 'ogii-pajiishkikodaanan', 'fst_analyses': ['PVTense/gii+bajiishkikodan+VTI+Ind+Pos+Neu+3PlObvSubj+0PlObj', 'PVTense/gii+bajiishkikodan+VTI+Ind+Pos+Neu+3SgObvSubj+0PlObj', 'PVTense/gii+bajiishkikodan+VTI+Ind+Pos+Neu+3SgProxSubj+0PlObj']}, {'word_form': 'iniwen', 'fst_analyses': ['iniwen+PRONDem']}, {'word_form': ""bawa'iganaatigoon"", 'fst_analyses': [""bawa'iganaatig+NI+Pl""]}, {'word_form': '.', 'fst_analyses': []}]"
