Ojibwe,English,Speaker,Audio Link
Ningii-siikoobiigamaa bagesaan.,I sucked the juice out of a plum.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/ziikoobiigam___ex30__nj521049.mp4
Aandi ezhiniged.,Where is he lugging things on his shoulder to?,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/izhinige__ai_ex__sp66478_0.mp4
Gego babaamenimaaken igiweg animoonsag. Aapiji gizhaawaso awe weniijaanisid.,Don't bother those pups. The mother (= the one who has them as young) is very protective.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/gizhaawaso__ai_ex__sp67026_0.mp4
Ogii-ojiimaan iniwen ookomisan epiichi-minwendang waabamaad.,He kissed his grandmother he was so happy to see her.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/ojiim___ex36__es676006.mp4
Na'egaaj sa go naa. Gego wiin giikaamaaken.,Take it easier. Don't get mad at him.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/na_egaaj___ex199__nj520094.mp4
Anishaa gigiikaam. Gaawiin gosha niin ningii'-wanibizo'aasii gidoodaabaan.,You're arguing with me for nothing. I'm not the one that took your car.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/giikaam___ex51__nj528124.mp4
Giizis endaso-giizhik biidaasige.,Every day the rays of the sun come.,gj,https://s3.amazonaws.com/ojibwe-audio-transcoded/biidaasige__ai_ex__gj69517_0.mp4
Endaso-giizhik iko nimamoonan nimashkikiinsiman.,Every day I take my medicine (pills).,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/endaso-giizhik__av_ex__rg68205_0.mp4
Eshkam igo endaso-giizhik ani-mino-ayaa.,She's getting better and better every day.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/eshkam___ex64__nj520002_0.mp4
Waabanong bi-onji-mooka'an endaso-giizhik.,The sun comes up from the east every day.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/waabanong___ex87__nj520035_0.mp4
Ogii-tazaabamaan iniwen o... owiitaan gaa-onji-noogiid gegoo aana-wii-ikidod.,He was going to say something but because of his brother-in-law being there he just stopped.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/noogii__ai_ex__sp66011_0.mp4
Mii go gakina gegoo adaawaaged.,He's selling everything.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/adaawaage__ai_ex__sp65734add3_0.mp4
Ogikendaanaawaa gakina gegoo.,They know it all.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/gikendan__ti1_ex__sp65657_0.mp4
Gakina gegoo odazhindaanaawaa ingiw.,They talk about everything.,gh,https://s3.amazonaws.com/ojibwe-audio-transcoded/gakina_20gegoo___ex118__gh687097.mp4
Owenipanendaan gakina gegoo.,He thinks everything is easy.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/wenipanendan__ti1_ex__sp67684_0.mp4
Gakina gegoo ginoondaagoo ekidoyan.,The spirits hear everything you say.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/gakina_20gegoo___ex265__nj520102.mp4
Wenipanad 'iw ezhichigeying ojibwemowin dazhikamong.,What we're doing working on the Ojibwe language is easy.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/wenipanad__ii_ex__sp65925_0.mp4
Wenipanadoon noongom onowen ojibwe-ikidowinan.,The Ojibwe words today are easy.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/wenipanad__ii_ex__sp67683_0.mp4
Gaawiin da-wenipanasinoon.,It's not going to be easy.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/wenipanad__ii_ex__sp66015_0.mp4
Weweni minonan iwe mitigwaab jibwaa-wiikobidooyan.,Grasp and hold that bow right before you pull it.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/minonan__ti1_ex__sp67448_0.mp4
Odoonzaamaakizaan obaate-wiiyaasikaan.,She overdid her smoked meat.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/onzaamaakizan___ex85__nj611399.mp4
Mii ezhi-apagadaashkaag imaa niminaaweyaandawaaning.,The waves are beating against the dock.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/apagadaashkaa__ii_ex__sp67219_0.mp4
Gaawiin gegoo inaabadizisii; onzaam nibaashki.,He's not good for anything because he sleeps all the time.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/nibaashki__ai_ex__sp65404_0.mp4
Aaniin enaabadizid.,How is it (animate) used?,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/inaabadizi___ex62__nj527071.mp4
Aaniin enaabadizid awe odaabaan gaa-abid idi mashkikiiwigamigong. Mii na awe aakoziiwidaabaan.,What's that vehicle doing over there at the medical building? Is that the ambulance?,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/inaabadizi___ex63__nj527072.mp4
Boodaweyaan naa gaa-izhi-jaagizoyaan wiisagaakizoyaan.,I was making a fire and burnt myself, and it hurt.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/wiisagaakizo__ai_ex__rg68356_0.mp4
Jiigasin izhi-boodawedaa.,Let's build a fire by the rock.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/jiigasin___ex64__nj520016_0.mp4
NIngii'-onzaamibadoon nimbaashkiminasiganikaan.,I overfilled my jam jar.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/onzaamibadoon___ex47__nj527013.mp4
Mii go ji-bwaanawi'ad aana-wii-gichiwinad. Ojaanimendam iwidi wii-azhegiiwed gaa-pi-onji-bazigwiid. Amanj gaa-izhiwebadogwen iwidi.,You won't be able to hold him back. He wants to go back where he came from because something happened over there.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/ojaanimendam__ai2_ex__sp67552ad_0.mp4
Weweni gii-... gii-kashka'oojigaazo awe manidoo-dewe'igan.,They laced and tied that traditional drum very nicely.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/gashka_oojigaazo___ex53__es564091.mp4
Nawaj igo gii-mamaashkawaji onowaang 'a gwiiwizens.,The boy was a little frostbitten on his cheeks.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/mamaashkawaji__ai_ex__sp66871_0.mp4
Aandi enaanakwak.,Which way are the clouds going?,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/inaanakwad__ii_ex__rg68057add_0.mp4
Anooj inaanakwad.,There are various clouds.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/inaanakwad__ii_ex__sp65211_0.mp4
Gii-kagiibiingwe awe nimishoomis booch idash igo gii-naaniimid.,Even though my grandfather was blind, he still danced.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/gagiibiingwe___ex62__es564071.mp4
Ogii-bitaganaandaan gaa-onji-baasa'ang i'iw waasechigan.,He accidentally hit the window and that's how he broke it.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/baasa_an__ti1_ex__sp66434_0.mp4
Biindigeyaan ningiziizide'odiz imaa anaakaning.,When I come in, I wipe my feet on the rug.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/anaakan__ni_ex__rg68123_0.mp4
Gii-pagamaajimaa gii-miikoshkoozod awe zhimaaganish iwidi endazhiikodaading,,Word was received that that soldier was wounded at the front.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/miikoshkoozo__ai_ex__sp67455_0.mp4
Mii iwe gii-nagishkang zanagadong awe zhimaaganish.,That solider met the front lines.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/nagishkan__ti1_ex__sp66015_0.mp4
Gii-kabaagwaashkwaniwag igiweg zhimaaganishag imaa bemisemagak.,The soldiers jumped out of the plane.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/gabaagwaashkwani___ex139__es562172.mp4
Naajibatwaadan gigiishkiboojigan. Giga-andawinisemin.,Go run for your saw. We'll go get some firewood.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/naajibatwaadan___ex67__nj524022.mp4
Gidaa-michi-boozidaabaanaag mitigoog gaa-bwaawinadwaa.,You should drag the trees you can't lift to the car.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/boozidaabaazh___ex72__nj611412.mp4
Giishpin noondaagweweyaabikibizod gidoodaabaanish, wiiba giga-michi-bima'adoo.,If your old car is making a rattling noise, you're going to be walking soon.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/noondaagweweyaabikibizo___ex69__nj590150.mp4
Michi-niisaabiiginan jiimaan; onzaam mamaangaadigose.,Just let the canoe down on a rope because the ruffles of the current are too big.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/niisaabiiginan___ex61__nj61130508.mp4
Bagidinamaw oninj.,Let go of his hand.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/bagidinamaw__ta_ex__sp65284_0.mp4
Debitaagoziwag igiw binesiwag iwidi giizhigong.,The thunderbirds can be heard up in the sky.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/giizhig__ni_ex__sp65210_0.mp4
Ingii-pawaadaan babaamaashiyaan giizhigong.,I dreamed I was soaring around in the sky.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/bawaadan__ti1_ex__sp65406_0.mp4
Aanind binesiwag ozaawishkiinzhigwewag.,Some raptors have yellow eyes.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/ozaawishkiinzhigwe___ex115__nj529091.mp4
Agwanaatesidoon gimawinzwaanan jibwaa-baashkijiidegin.,Put your blueberries in the shade before they burst open from the sun.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/agwanaatesidoon___ex52__nj591013.mp4
Giiwedinong ondaanimad wenji-gisinaag.,The wind is from the north -- that's why it's cold.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/giiwedinong__av_ex__sp65576_0.mp4
Agawaateyaabikaang izhi-agoke aasaakamig. Mii 'imaa wenji-gikendaman aandi nake giiwedinong.,Moss grows on the shady side of rock. That's where you can learn which way is north.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/agawaateyaabikaa___ex90__nj611360.mp4
Mii go 'iw gabe-giizhig ge-izhiwebak ji-babimibiisaag.,It's going to be like this all day, we're going to have rain squalls.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/bimibiisaa___ex119__es562166.mp4
Dadaatabiiwag igiw egoodinasabiiwaad.,The ones hanging the net up are fast.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/dadaatabii__ai_ex__sp65904_0.mp4
Gaasiisidoon gimakizinan gaasiizidesimowining biindigeyan.,Wipe your shoes off on the door mat if you go enter.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/gaasiizideshimowin___ex111__nj522126.mp4
Ogii-aapida'oodoonan iniw makizinan awe gwiiwizens.,That boy tied up his shoes into knots and can't undo them.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/aapida_oodoon__ti2_ex__sp67204_0.mp4
Noondaagomo' gidoodaabaan.,Toot your horn!,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/noondaagomo____ex68__nj590151.mp4
Miiwag ogowe.,These are the ones.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/miiwag___ex207__nj520094.mp4
Miinan ozaawaditewan gii-ani-ishpi-dagwaagig.,Blueberries turn brownish in the late fall.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/ozaawadite___ex38__nj529084.mp4
Mii 'iw gii-maada'ookiid iniw bagijiganan.,He distributed the offerings.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/maada_ookii__ai_ex__sp66885_0.mp4
Awi-maada'ookiin ini gigishkiganan gaa-piijigaadegin.,Go distribute those clothes they brought over.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/maada_ookii___ex22__es666077.mp4
Ogii-izhiwidoon i'iw zhooniyaa-mazina'igan iwidi zhooniyaawigamigong.,She took the check to the bank.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/izhiwidoon__ti2_ex__sp65336add_0.mp4
Bagamigidaazo. Gaawiin gii'-miinaasii ozhooniyaa-mazina'igan.,He came in mad because he didn't get his check.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/bagamigidaazo___ex115__nj61133403.mp4
Onjida go gagaanooziwag igiweg ojibwewininiwag.,Those Ojibwe men are naturally tall.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/gagaanooziwag___ex53__es564068.mp4
Ogii'-napaajisidoon giishkiboojiganeyaab.,He put the saw chain on backwards.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/napaajisidoon___ex136__nj61161804.mp4
Owidi ondaajimo nimaamaa.,My mother's story comes from way back.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/owidi___ex175__nj520091.mp4
Gii-aazhawishkaawaad imaa ziibiinsing gii-pimaadagaaziiwag.,When they crossed the stream, they waded through the water.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/bimaadagaazii__ai_ex__sp65509_0.mp4
Aaniin epiitinigwakin ningodooshkimod opiniin.,How much does a sack of potatoes weigh?,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/apiitinigwad___ex92__nj611367.mp4
Ogii-kwekishimaan ini bashkweginoon. Ogii-aazhigijishimaan.,He changed the position of the hide. He turned it over on its back.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/aazhigijishim__ta_ex__sp66545_0.mp4
Awenen gaa-kwekishimaad iniw majiikiwisan.,Who turned the battery around?,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/gwekishim__ta_ex__sp65562.mp4
Biinish igo ani-agaasinaagozi migizi gaa-ishpaashid.,An eagle looks smaller and smaller as it soars high.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/agaasinaagozi___ex109__nj592114.mp4
Ometasinaan iniw ogozisan. Mii go bijiinag gwiinawenimaad.,He's wondering where his son is. He just now missed him.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/gwiinawenim__ta_ex__sp67050_0.mp4
Aandi enaadagaayin.,Where are you swimming to?,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/inaadagaa__ai_ex__sp66213_0.mp4
Wenipanendaagod dibishkoo go mishiimini-baashkiminasigani-biitoosijigani-bakwezhigan.,Its as easy as apple pie. [literal translation of English saying],es,https://s3.amazonaws.com/ojibwe-audio-transcoded/wenipanendaagod__ii_ex__sp67685_0.mp4
Niizho-biboonagad gii-waabamag ishkwaaj nishiime.,It was two years ago that I last saw my younger brother.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/niizho-biboonagad__ii_ex__rg68140_0.mp4
Bi-naazhishin.,Come and get me.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/naazh___ex105__es562162.mp4
Indaga naazh 'a bakwezhigan imaa adaawewigamigong. Wewiibishkaan.,Please go get some bread at the store. Get a hurry on!,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/wewiibishkaa__ai_ex__sp65819_0.mp4
Gii-minwii gii-naanaad iniw odaanan gii-anzhikewabinid.,It was ideal for him to pick up his daughter when she was home alone.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/minwii__ai_ex__sp67452_0.mp4
Awasisag iwidi gii-izhi-aanjigozi.,He moved to the other room.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/awasisag__av_ex__sp65579_0.mp4
Ozhaasiziwag giigoonyag gaa-gii-pida'anaayaan.,The fish I caught in the net were pretty slippery.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/ozhaashizi___ex110__nj529094.mp4
Ogii-bichi-ziigwebinaan doodooshaaboo.,He accidentally spilled the milk.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/ziigwebinan__ti1_ex__sp65304_0.mp4
Ogii-siigwebinaan gii-opimewebinang.,He spilled it out when he tipped it on its side.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/opimewebinan__ti1_ex__sp65563_0.mp4
Gii-paashkinese i'iw akakanzhe i'iwidi gii-izhi-ziigwebinamaan.,A sudden whiff of ash dust arose when I spilled it over there,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/baashkinese__ii_ex__sp65785_0.mp4
Giboz igiw opiniig.,Bake the potatoes.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/giboz__ta_ex__sp65979ad_0.mp4
Ningibozwaa baaka'aakwe.,I'm baking a chicken.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/baaka_aakwe__na_ex__rg68107_0.mp4
Gego gibozwaaken a'aw baaka'aakwe. Zaasagokwaazh.,Don't bake that chicken. Fry it.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/giboz__ta_ex__rg68107_2.mp4
Minopogozi a'aw adikameg gibozond.,The whitefish tastes good when it is oven-baked.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/adikameg__na_ex__sp65365add_0.mp4
Ingii-segimig awe gaa-pabaamwewidang binesi awasonaago.,I was scared the other day by the thunder going around.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/babaamwewidam__ai2_ex__sp66405_0.mp4
Naawaawigan agokewan ezigaan.,There's a wood tick in the middle of his back.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/naawaawigan___ex131__nj520027_0.mp4
Biichaag ezhaaying bimoom giniijaanis.,As we'll be going a long ways, carry your child on your back.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/bimoom__ta_ex__sp65335_0.mp4
Biinji-waazh ogii'-ina'anaan. Owii-saagidaabaswaan.,He followed its trail into the den. He's going to smoke it out.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/ina_azh___ex76__nj590036.mp4
Dabasigaabawiwan omishtadimoonsiman gaa-debasaanaad.,The rider's little horse is nice and low.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/dabasigaabawi___ex49__nj591011.mp4
Nindesabaanaa mishtadim.,I'm sitting on the horse.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/desabaazh___ex49__nj528123.mp4
Gidaa-gagwe-minjimapidoonan ini mashkosiwan jibwaa-maajiidooying.,Before we take that hay out of here, you'd better tie it down good.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/minjimapidoon__ti2_ex__sp67445_0.mp4
Ogii-kibishkaan iwe miikana awe gaag gii-megwaa-aazhawishkaad.,That porcupine kind of blocked the road as he crossed it.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/gaag___ex49__es564160.mp4
Endaso-biboon ninagwaanaag waaboozoog.,Every winter I snare rabbits.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/endaso-biboon___ex57__nj520001_1.mp4
Waaboozo-miikanaang izhi-agoodoon ginagwaagan ji-nagwaanad waabooz.,Put your snare on a rabbit trail of you want to snare one.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/waaboozo-miikana___ex36__nj523115.mp4
Ningii'-nanawiz gii-naadagweyan. Gaawiin awiya ningii'-nagwaanaasii. Gaawiin gegoo ningii'-nagwaadanziin.,I was skunked checking my snares. I didn't snare anybody. I didn't snare anything.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/gaawiin_20awiya___ex79__nj520004.mp4
Gii-pookozideshin gaa-gii-pishigwaakwiid odaabaaning.,He broke his foot when he miss his grip and fell off the train.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/bookozideshin___ex106__nj528053.mp4
Ozhishin gibozigan ji-ombishing.,The bread is put to rise.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/ozhishin___ex114__nj529072.mp4
Aaniin endaswewaanagakin.,How many pairs of them are there?,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/daswewaanagadoon__ii_ex__nj61007_0.mp4
Mii 'iw zhaangaso-diba'iganeg ji-madwesidood 'iw godotaagan.,At nine o'clock he's going to ring the bell.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/madwesidoon___ex40__es666080.mp4
Ogii-mashkawitoon i'iwe gaa-ikidod.,He made a stronger statement.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/mashkawitoon__ti2_ex__sp65703_0.mp4
Onjida nigii-panizi'igoo aana-gii-ikidoyaan wii-wiidookaazoyaan.,I was omitted intentionally even though I said I wanted to help.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/banizi___ta_ex__sp66452_0.mp4
Aaniin ekidong...,How do you say...,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/ikido___ex26__nj820029.mp4
Gaawiin wii'-izhaasii. "Onzaam biichaa," ikido.,He doesn't want to go. "It's too far," he says.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/biichaa___ex70__nj611371.mp4
Giishpin ondamiziyan, niin giga-ozhibii'igetamawin. Wiindamawishin waa'-ikidoyan.,If you are too busy, I'll write the letter for you. Just tell me what you want to say.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/ozhibii_igetamaw___ex79__nj529065.mp4
Giin giboj.,You dummy!,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/giboj___ex111__nj610008_1.mp4
Giboj. Gaawiin gigikendanziin ezhichigeyan.,Stupid! You don’t know what you’re doing.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/giboj___ex112__nj610008_1.mp4
Aaniish ekobiid.,How full is it (the gas tank)?,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/akobii__ai_ex__sp67542_0.mp4
Aaniin ekobiid ginibinaadwaaganakik.,How full is your water pail?,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/akobii___ex133__nj611448.mp4
Mii imaa wii-onakijigaadeg iwe zhimaaganishii-aakoziiwigamig gaa-onji-... gaa-onji-bashkwaachigewaad.,That is where they are going to construct the VA hospital. That's the reason why they cleared that plot of land.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/zhimaaganishii-aakoziiwigamig__ni_ex__sp67873_0.mp4
Aazha gii-pina'igaade.,It was already taken down by somebody.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/bina_igaade___ex32__nj528006.mp4
Nimaamaa ogii-andawaabamaan iniw wiigobaatigoon. Miish imaa gii-ozhitood iniwen negwaakwaanan. Ayi'ii ogii-aabajitoon iw waagaakwadoons.,My mother went looking for basswood trees. That's where she made those taps. She used a hatchet.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/negwaakwaan__ni_ex__rg68451_0.mp4
Naajigwaazh gigaanda'igwaason gaa-gii-pishigonad anaamidoopowinaak. Mitig aabajitoon ji-naajigwaanad.,Rake out the thimble you dropped under the table. Use a stick to rake it out with.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/naajigwaazh___ex62__nj524020.mp4
Gii-naajimiijimeyaan ingii-adaawen dekaag.,I bought ice cream when I went shopping.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/dekaag__ni_ex__rg68109_0.mp4
Ningii-naajimiijime wii-chiibaakweyaan.,I went after food to cook.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/naajimiijime__ai_ex__rg68108_0.mp4
Noongom niwii'-naajimiijimenaaban; onzaam idash gichi-zoogipon.,I was going to get groceries today, but it was snowing too hard.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/naajimiijime___ex64__nj524021.mp4
Indaga niizhozid biidamawishin awe mekadewaabiigizid zenibaa.,Bring me two feet of that black ribbon.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/makadewaabiigizi__ai_ex__sp66866_0.mp4
"Gichi-minomaagwadoon ini waabigwaniin gaa-piidamawiyin," odinaan iniw onaabeman a'a ikwe.,Those flowers you brought me smell good," the woman told her husband.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/minomaagwad__ii_ex__sp67447_0.mp4
Daga biidamawishin onaagaans. | O'owe na, maagizhaa ge owe. | Wegodogwen igo.,Please bring me a cup. | This one, or this one? | Whichever.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/wegodogwen_20igo___ex28__nj591158.mp4
Ozhibii'igan gibiidamawin.,I'm bringing you the mail.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/ozhibii_igan___ex81__nj529065.mp4
Megwaa gwekiwebiniganike aw indikwem.,My wife is making pancakes now.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/gwekiwebiniganike__ai_ex__sp67049_0.mp4
Mii imaa gaa-ondinang mookomaan anaamaatig.,That's where he got the knife from, from under the log.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/anaamaatig__av_ex__sp65317_0.mp4
Anaamaatig gidaa-izhi-wanii'amawaa zhaangweshi.,Put your mink trap underneath a log.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/anaamaatig___ex231__nj520057.mp4
Aazhawaya'ii iwidi awi-atoon 'i apabiwin.,Go put the chair on the other side.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/aazhawaya_ii__av_ex__sp65574_0.mp4
Adaawewigamigong iwidi apatwaadan.,Run it over there to the store,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/apatwaadan__ti1_ex__sp69037_0.mp4
Ambe shke o-mazinaatesijigedaa iwidi mazinaatesijigewigamigong.,Come on let's go see a movie at the theater.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/mazinaatesijigewigamig__ni_ex__sp69021.mp4
Gii-gichi-manoominikaa iidog iwidi.,There must have been a lot of rice over  there.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/manoominikaa__ii_ex__rg68447ad_0.mp4
Agaaming iwidi ningii'-onjikadaan bezhig nindabwi.,I left one of my paddles across the lake.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/agaaming___ex38__nj520013_0.mp4
Niwii-izhaa iwidi mashkikiiwigamigong wii-naadiyaan ini nimashkikiiman.,I'm going to go to the drugstore to pick up my medicines.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/mashkikiiwadaawewigamig__ni_ex__sp69021_0.mp4
Iwidi o-dananokiin.,Go work over there.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/dananokii__ai_ex__sp65467_0.mp4
Iwidi gichi-wakaa'iganing wii-tazhi-niimi'iidim onaagoshig.,There going to have a dance over there in the big building this evening.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/iwidi___ex179__nj520091.mp4
Eshkam igo endaso-giizhik ani-mino-ayaa.,She's getting better and better every day.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/eshkam___ex64__nj520002_0.mp4
Eshkam igo besho bi-naagozi.,She's coming closer.,gh,https://s3.amazonaws.com/ojibwe-audio-transcoded/eshkam_20igo___ex113__gh687064.mp4
Eshkam igo ani-mino-ayaa.,She's getting better.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/eshkam___ex63__nj520002_0.mp4
Awenen wedasabiid.,Who's got a net?,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/odasabii__ai_ex__sp65870_0.mp4
Gii-panizi'aa bijiinaago. Gaawiin odasabiisii aana-gii-pagida'waang.,He got shut out yesterday when they set nets because he doesn't have any nets.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/odasabii__ai_ex__sp67547_0.mp4
Ningii'-waabamaa oshkiniigikwens niibinakizined. Wiinge dash gisinaani agwajiing.,I saw a young woman wearing summer shoes, but it was really cold outside.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/niibinakizine___ex71__nj527021.mp4
Waawiyeyaa imaa endanakamigak.,The place of activity is round. (e.g., a powwow ring),es,https://s3.amazonaws.com/ojibwe-audio-transcoded/waawiyeyaa__ii_ex__sp67674_0.mp4
Ogii'-miikwa'aan gaa-waawiyeyaanig gaa-goda'aakwed.,She hit the bull's eye when target shooting.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/miikwa_an___ex105__nj590041.mp4
Gego gabeya'ii zheyaakonangen ishkwaandem. Da-biindigesewag zagimeg.,Don't leave the door open too long. The mosquitos will get in.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/biindigese___ex63__nj591140.mp4
